train_auc,val_auc,train_loss,val_loss
0.6489982604980469,0.6596119999885559,0.7705944776535034,0.6506868004798889
0.8450645208358765,0.6553287506103516,0.5630505084991455,0.6440079808235168
0.7082074880599976,0.6583521962165833,0.711408793926239,0.6976275444030762
0.7436676025390625,0.6643990278244019,0.7351377010345459,0.6999402642250061
0.7587422132492065,0.6870748400688171,0.6931546330451965,0.6636998653411865
0.694427490234375,0.6943814754486084,0.7731746435165405,0.6348292231559753
0.7203762531280518,0.7301586866378784,0.6793822050094604,0.6101716756820679
0.7450714111328125,0.7414966225624084,0.6490182876586914,0.6180199384689331
0.7380123138427734,0.7422524690628052,0.6505204439163208,0.6280553340911865
0.6101624369621277,0.7495591044425964,0.7439850568771362,0.6280185580253601
0.7086982727050781,0.7792895436286926,0.671850860118866,0.6064698100090027
0.7675969004631042,0.7843285799026489,0.6429964900016785,0.5917638540267944
0.8102016448974609,0.7923910617828369,0.5880863666534424,0.5719174742698669
0.8263223171234131,0.7944066524505615,0.5780413746833801,0.56993168592453
0.814834713935852,0.7981859445571899,0.5688280463218689,0.5665781497955322
0.79833984375,0.8047367334365845,0.5987524390220642,0.5614202618598938
0.7920236587524414,0.8180902004241943,0.6107740998268127,0.5486442446708679
0.8091812133789062,0.8221214413642883,0.5725299119949341,0.5435255765914917
0.8071379065513611,0.833207368850708,0.5785486102104187,0.5338320732116699
0.82318115234375,0.8400100469589233,0.5669862627983093,0.5272400975227356
0.8559204339981079,0.8488284349441528,0.5185465216636658,0.5154593586921692
0.82122802734375,0.8505921363830566,0.5473347306251526,0.512683629989624
0.8386240005493164,0.8599143624305725,0.5383580923080444,0.5092308521270752
0.8493194580078125,0.858780562877655,0.5275002717971802,0.5043267011642456
0.8313356637954712,0.8606702089309692,0.5453122854232788,0.4922076165676117
0.8200836181640625,0.861426055431366,0.5494449734687805,0.48735764622688293
0.8525180816650391,0.8639456033706665,0.5145317912101746,0.4834444224834442
0.7742607593536377,0.8674728870391846,0.6208751797676086,0.48194196820259094
0.8738189339637756,0.8775510787963867,0.4875727891921997,0.4773753881454468
0.83673095703125,0.8790627717971802,0.5265554189682007,0.47323089838027954
