train_loss,val_loss,train_auc,val_auc
0.636118767414501,0.5828117728233337,0.5099320774061259,0.5332480818414322
0.5874308269079144,0.5833784937858582,0.5214981417403564,0.43989769820971864
0.5857547876456629,0.58327716588974,0.5587434320133282,0.4565217391304348
0.5859677371919262,0.5832563042640686,0.510364603357683,0.4411764705882353
0.5859370518495692,0.5832950472831726,0.5439093938228886,0.38746803069053715
0.5859121213834766,0.5832783579826355,0.5286588491605793,0.3938618925831202
0.5860399036483969,0.5832678079605103,0.49251890298603096,0.391304347826087
0.5858713950490356,0.583236038684845,0.5622677175445341,0.4258312020460358
0.5858359158357834,0.583221435546875,0.5164840445982314,0.4501278772378516
0.5859991216404553,0.5831414461135864,0.5347462514417531,0.5076726342710998
0.5860211787589306,0.5830866694450378,0.5529283608868384,0.5383631713554987
0.5859530774242313,0.5830339789390564,0.5239491221325131,0.5473145780051151
0.5859597696127526,0.583042323589325,0.5316224529027297,0.5652173913043478
0.5859679962224501,0.5830520391464233,0.509972126105344,0.5895140664961637
0.5860243460392569,0.5830612182617188,0.47778098167371524,0.5805626598465472
0.5859278710343196,0.5830332636833191,0.5291073945918237,0.5690537084398977
0.5859529651210057,0.5830250978469849,0.5317025503011663,0.5575447570332481
0.5859733129355147,0.5830156803131104,0.5470171728822248,0.5383631713554987
0.5859450516216258,0.5830222368240356,0.5235326156606432,0.5473145780051151
0.5860460525952983,0.5830509066581726,0.4633153915160836,0.551150895140665
0.5859925772417038,0.5830921530723572,0.5123189798795333,0.5370843989769821
0.585980456568128,0.5830808877944946,0.528162245290273,0.5473145780051152
0.5859645369218632,0.5830680727958679,0.5021946687171601,0.5268542199488491
0.5859707116868195,0.5830769538879395,0.5132000512623349,0.510230179028133
0.5860446906132282,0.583067774772644,0.47677175445341535,0.537084398976982
0.5859525966559289,0.5830755233764648,0.5609541202101755,0.5294117647058824
0.5859353561452366,0.5830752849578857,0.5355792643854927,0.5217391304347826
0.5859490961314523,0.5830792784690857,0.5024669998718441,0.5166240409207161
0.5860379171456458,0.5830764770507812,0.4758906830706139,0.5191815856777494
0.5859698423727311,0.583081066608429,0.555795847750865,0.5217391304347827
